UNIX_TIMESTAMP(timeStamp),message,batteryVoltage,batteryCurrent,temperature,mode,epsBootCounter,unauthorizedCommands
1677162126,Une Ecole pour la Vie,0,0,0,0,0,0
946707647,Une Ecole pour la Vie,7947,-2,-320,3,201,0
946690917,Une Ecole pour la Vie,7965,33,200,3,201,0
946690737,Une Ecole pour la Vie,7962,36,0,3,201,0
946737690,Une Ecole pour la Vie,7904,-83,320,3,201,0
946770431,Une Ecole pour la Vie,7947,8,-240,3,201,0
946776188,Une Ecole pour la Vie,7956,17,-80,3,201,0
946781944,Une Ecole pour la Vie,7974,58,-240,3,201,0
946792018,Une Ecole pour la Vie,7960,54,-1040,3,201,0
946828537,Une Ecole pour la Vie,7906,-85,320,3,201,0
946861098,Une Ecole pour la Vie,7971,53,40,3,201,0
946861458,Une Ecole pour la Vie,7972,58,-40,3,201,0
946877109,Une Ecole pour la Vie,7960,69,-1080,3,201,0
946880707,Une Ecole pour la Vie,7875,-84,-720,3,201,0
946992962,Une Ecole pour la Vie,0,0,360,3,201,0
946998718,Une Ecole pour la Vie,0,0,760,3,201,0
947004295,Une Ecole pour la Vie,0,0,360,3,201,0
947005734,Une Ecole pour la Vie,0,0,-960,3,201,0
947005554,Une Ecole pour la Vie,0,0,-760,3,201,0
947005375,Une Ecole pour la Vie,0,0,-520,3,201,0
947031639,Une Ecole pour la Vie,0,0,40,3,201,0
947037036,Une Ecole pour la Vie,0,0,-8997,254,51459,0
947047470,Une Ecole pour la Vie,0,0,-880,3,201,0
947047650,Une Ecole pour la Vie,0,0,-760,3,201,0
947015809,Une Ecole pour la Vie,0,0,320,3,201,0
947015629,Une Ecole pour la Vie,0,0,480,3,65535,0
947051248,Une Ecole pour la Vie,0,0,-880,3,201,0
947053227,Une Ecole pour la Vie,0,0,-960,3,201,0
947053047,Une Ecole pour la Vie,0,0,-1000,3,201,0
947089386,Une Ecole pour la Vie,0,0,480,3,201,0
947090825,Une Ecole pour la Vie,0,0,-760,3,201,0
947090645,Une Ecole pour la Vie,0,0,-440,3,201,0
947092624,Une Ecole pour la Vie,0,0,-1200,3,201,0
947138497,Une Ecole pour la Vie,0,0,-760,3,201,0
947138317,Une Ecole pour la Vie,0,0,-1080,3,201,0
947223588,Une Ecole pour la Vie,0,0,-1200,3,201,0
947223408,Une Ecole pour la Vie,0,0,-1320,3,201,0
947248593,Une Ecole pour la Vie,0,0,360,3,201,0
947248414,Une Ecole pour la Vie,0,0,600,3,201,0
947248773,Une Ecole pour la Vie,0,0,280,3,201,0
947259747,Une Ecole pour la Vie,0,0,400,3,201,0
947259567,Une Ecole pour la Vie,0,0,440,3,201,0
947281514,Une Ecole pour la Vie,0,0,-160,3,201,0
947281694,Une Ecole pour la Vie,0,0,80,3,201,0
947287271,Une Ecole pour la Vie,0,0,280,3,201,0
947287091,Une Ecole pour la Vie,0,0,-200,3,201,0
947308859,Une Ecole pour la Vie,0,0,-840,3,201,0
947308679,Une Ecole pour la Vie,0,0,-1000,3,201,0
947333684,Une Ecole pour la Vie,0,0,360,3,201,0
947333504,Une Ecole pour la Vie,0,0,320,3,201,0
947333864,Une Ecole pour la Vie,0,0,280,3,201,0
947372182,Une Ecole pour la Vie,0,0,-80,3,201,0
947372002,Une Ecole pour la Vie,0,0,-400,3,201,0
947372542,Une Ecole pour la Vie,0,0,-40,3,201,0
947372362,Une Ecole pour la Vie,0,0,-200,3,201,0
947378118,Une Ecole pour la Vie,0,0,0,3,201,0
947377938,Une Ecole pour la Vie,0,0,-160,3,201,0
947377759,Une Ecole pour la Vie,0,0,-280,3,201,0
947377579,Une Ecole pour la Vie,0,0,-520,3,201,0
947383335,Une Ecole pour la Vie,0,0,-160,3,201,0
947399526,Une Ecole pour la Vie,0,0,-1040,3,201,0
947399346,Une Ecole pour la Vie,0,0,-920,3,201,0
947283133,Une Ecole pour la Vie,0,0,-240,3,201,0
947282954,Une Ecole pour la Vie,0,0,-40,3,201,0
947282774,Une Ecole pour la Vie,0,0,120,3,201,0
947282594,Une Ecole pour la Vie,0,0,280,3,201,0
947241578,Une Ecole pour la Vie,0,0,-280,3,201,0
947241398,Une Ecole pour la Vie,-1,-1,-1,3,201,0
947468606,Une Ecole pour la Vie,0,0,-40,3,201,0
947468786,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1682375736,Une Ecole pour la Vie,0,0,120,3,201,0
1682375915,Une Ecole pour la Vie,0,0,0,3,201,0
1682499144,Une Ecole pour la Vie,0,0,-40,3,201,0
1682499503,Une Ecole pour la Vie,0,0,80,3,201,0
1682738938,Une Ecole pour la Vie,0,0,440,3,201,0
1682936103,Une Ecole pour la Vie,0,0,-40,3,201,0
1683122655,Une Ecole pour la Vie,0,0,-720,3,201,0
1683122475,Une Ecole pour la Vie,0,0,-880,3,201,0
1683122295,Une Ecole pour la Vie,0,0,-1080,3,201,0
1683152878,Une Ecole pour la Vie,0,0,240,3,201,0
1683153057,Une Ecole pour la Vie,0,0,600,3,201,0
1683163132,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1683162952,Une Ecole pour la Vie,0,0,-520,3,201,0
1683180581,Une Ecole pour la Vie,0,0,160,3,65535,0
1683186338,Une Ecole pour la Vie,0,0,120,3,201,0
1683207566,Une Ecole pour la Vie,0,0,-1040,3,201,0
1683207386,Une Ecole pour la Vie,0,0,-1400,3,201,0
1683207746,Une Ecole pour la Vie,0,0,-1240,3,201,0
1683219979,Une Ecole pour la Vie,0,0,-40,3,201,0
1683225555,Une Ecole pour la Vie,0,0,-560,3,201,0
1683225375,Une Ecole pour la Vie,0,0,-680,3,201,0
1683225735,Une Ecole pour la Vie,0,0,-240,3,201,0
1683232751,Une Ecole pour la Vie,0,0,440,3,201,0
1683232571,Une Ecole pour la Vie,0,0,600,3,201,0
1683238148,Une Ecole pour la Vie,0,0,480,3,201,0
1683248222,Une Ecole pour la Vie,0,0,-560,3,201,0
1683248042,Une Ecole pour la Vie,0,0,-720,3,201,0
1683271429,Une Ecole pour la Vie,0,0,-80,3,201,0
1683292656,Une Ecole pour la Vie,0,0,-1120,3,201,0
1683292836,Une Ecole pour la Vie,0,0,-880,3,201,0
1683310646,Une Ecole pour la Vie,0,0,-440,3,201,0
1683310826,Une Ecole pour la Vie,0,0,-240,3,201,0
1683317842,Une Ecole pour la Vie,0,0,440,3,201,0
1683317662,Une Ecole pour la Vie,0,0,600,3,201,0
1683318022,Une Ecole pour la Vie,0,0,440,3,201,0
1683333493,Une Ecole pour la Vie,0,0,-520,3,201,0
1683333313,Une Ecole pour la Vie,0,0,-680,3,201,0
1683341408,Une Ecole pour la Vie,0,0,-360,3,201,0
1683344107,Une Ecole pour la Vie,0,0,-800,3,201,0
1683343927,Une Ecole pour la Vie,0,0,-960,3,201,0
1683356519,Une Ecole pour la Vie,0,0,-200,3,201,0
1683377927,Une Ecole pour la Vie,0,0,-1200,3,201,0
1683386742,Une Ecole pour la Vie,0,0,-240,3,201,0
1683426319,Une Ecole pour la Vie,0,0,-240,3,201,0
1683426499,Une Ecole pour la Vie,0,0,-320,3,201,0
1683441610,Une Ecole pour la Vie,0,0,0,3,201,0
1683452404,Une Ecole pour la Vie,0,0,-160,3,201,0
1683452584,Une Ecole pour la Vie,0,0,-240,3,201,0
1683493420,Une Ecole pour la Vie,0,0,400,3,201,0
1683498997,Une Ecole pour la Vie,0,0,720,3,201,0
1683504753,Une Ecole pour la Vie,0,0,600,3,201,0
1683513928,Une Ecole pour la Vie,0,0,-1080,3,201,0
1683514288,Une Ecole pour la Vie,0,0,-800,3,201,0
1683526701,Une Ecole pour la Vie,0,0,-40,3,201,0
1683526521,Une Ecole pour la Vie,0,0,-200,3,201,0
1683526341,Une Ecole pour la Vie,0,0,-320,3,201,0
1683553685,Une Ecole pour la Vie,0,0,-960,3,201,0
1683566098,Une Ecole pour la Vie,0,0,-400,3,201,0
1683590024,Une Ecole pour la Vie,0,0,600,3,201,0
1683589844,Une Ecole pour la Vie,0,0,400,3,201,0
1683594341,Une Ecole pour la Vie,0,0,-200,3,201,0
1683594162,Une Ecole pour la Vie,0,0,-520,3,65535,0
1683617368,Une Ecole pour la Vie,0,0,-280,3,201,0
1683617548,Une Ecole pour la Vie,0,0,-120,3,201,0
1683644712,Une Ecole pour la Vie,0,0,-880,3,201,0
1683702279,Une Ecole pour la Vie,0,0,-80,3,201,0
1683687527,Une Ecole pour la Vie,0,0,-440,3,201,0
1683687348,Une Ecole pour la Vie,0,0,-40,3,201,0
1683687168,Une Ecole pour la Vie,0,0,80,3,201,0
1683669358,Une Ecole pour la Vie,0,0,600,3,201,0
1683664141,Une Ecole pour la Vie,0,0,360,3,65535,0
1683663961,Une Ecole pour la Vie,0,0,600,3,201,0
1683663781,Une Ecole pour la Vie,0,0,600,3,201,0
1683452764,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1683452764,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1683452764,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1683793274,Une Ecole pour la Vie,0,0,-200,3,201,0
1683845264,Une Ecole pour la Vie,0,0,600,3,201,0
1683845084,Une Ecole pour la Vie,0,0,480,3,201,0
1683845444,Une Ecole pour la Vie,0,0,600,3,201,0
1683845624,Une Ecole pour la Vie,0,0,440,3,201,0
1683857677,Une Ecole pour la Vie,0,0,-480,3,201,0
1683878365,Une Ecole pour la Vie,0,0,-200,3,201,0
1683883942,Une Ecole pour la Vie,0,0,-200,3,201,0
1683883942,Une Ecole pour la Vie,0,0,-200,3,201,0
1683883942,Une Ecole pour la Vie,0,0,-200,3,201,0
1683883942,Une Ecole pour la Vie,0,0,-200,3,201,0
1683899772,Une Ecole pour la Vie,0,0,-1080,3,201,0
1683899592,Une Ecole pour la Vie,0,0,-1200,3,201,0
1683900132,Une Ecole pour la Vie,0,0,-720,3,201,0
1683985038,Une Ecole pour la Vie,0,0,-1040,3,201,0
1683984858,Une Ecole pour la Vie,0,0,-1280,3,201,0
1683985218,Une Ecole pour la Vie,0,0,-880,3,201,0
1684053938,Une Ecole pour la Vie,0,0,-400,3,201,0
1684054298,Une Ecole pour la Vie,0,0,-200,3,201,0
1684075705,Une Ecole pour la Vie,0,0,-1080,3,201,0
1684121219,Une Ecole pour la Vie,0,0,-840,3,201,0
1684191378,Une Ecole pour la Vie,0,0,360,3,201,0
1684224479,Une Ecole pour la Vie,0,0,0,3,201,0
1684230056,Une Ecole pour la Vie,0,0,-40,3,201,0
1683969027,Une Ecole pour la Vie,0,0,-280,3,201,0
1684270892,Une Ecole pour la Vie,0,0,440,3,201,0
1684276469,Une Ecole pour la Vie,0,0,560,3,201,0
1684276289,Une Ecole pour la Vie,0,0,440,3,201,0
1684309570,Une Ecole pour la Vie,0,0,-320,3,201,0
1684309390,Une Ecole pour la Vie,0,0,-200,3,201,0
1684350226,Une Ecole pour la Vie,0,0,560,3,201,0
1684361380,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1684361560,Une Ecole pour la Vie,0,0,240,3,201,0
1684361740,Une Ecole pour la Vie,0,0,240,3,201,0
1684367136,Une Ecole pour la Vie,0,0,240,3,201,0
1684394301,Une Ecole pour la Vie,0,0,-560,3,201,0
1684394660,Une Ecole pour la Vie,0,0,-440,3,201,0
1684394481,Une Ecole pour la Vie,0,0,-400,3,201,0
1684416054,Une Ecole pour la Vie,0,0,-1120,3,201,0
1684441059,Une Ecole pour la Vie,0,0,560,3,201,0
1684440879,Une Ecole pour la Vie,0,0,360,3,201,0
1684446455,Une Ecole pour la Vie,0,0,480,3,201,0
1684446635,Une Ecole pour la Vie,0,0,560,3,201,0
1684452212,Une Ecole pour la Vie,0,0,480,3,201,0
1684452032,Une Ecole pour la Vie,0,0,320,3,201,0
1684526329,Une Ecole pour la Vie,0,0,440,3,201,0
1684531726,Une Ecole pour la Vie,0,0,400,3,201,0
1684531546,Une Ecole pour la Vie,0,0,560,3,201,0
1684564827,Une Ecole pour la Vie,0,0,-160,3,201,0
1684570404,Une Ecole pour la Vie,0,0,-360,3,201,0
1684570224,Une Ecole pour la Vie,0,0,-560,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684570404,Une Ecole pour la Vie,0,0,-360,3,201,0
1684446455,Une Ecole pour la Vie,0,0,480,3,201,0
1684394481,Une Ecole pour la Vie,0,0,-400,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684570404,Une Ecole pour la Vie,0,0,-360,3,201,0
1684446455,Une Ecole pour la Vie,0,0,480,3,201,0
1684394481,Une Ecole pour la Vie,0,0,-400,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684570404,Une Ecole pour la Vie,0,0,-360,3,201,0
1684446455,Une Ecole pour la Vie,0,0,480,3,201,0
1684394481,Une Ecole pour la Vie,0,0,-400,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684570404,Une Ecole pour la Vie,0,0,-360,3,201,0
1684446455,Une Ecole pour la Vie,0,0,480,3,201,0
1684394481,Une Ecole pour la Vie,0,0,-400,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684570404,Une Ecole pour la Vie,0,0,-360,3,201,0
1684446455,Une Ecole pour la Vie,0,0,480,3,201,0
1684394481,Une Ecole pour la Vie,0,0,-400,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684622393,Une Ecole pour la Vie,0,0,320,3,201,0
1684622753,Une Ecole pour la Vie,0,0,600,3,201,0
1684622933,Une Ecole pour la Vie,0,0,440,3,201,0
1684649917,Une Ecole pour la Vie,0,0,-200,3,201,0
1684655314,Une Ecole pour la Vie,0,0,-200,3,201,0
1684655134,Une Ecole pour la Vie,0,0,-480,3,201,0
1684701721,Une Ecole pour la Vie,0,0,320,3,201,0
1684707478,Une Ecole pour la Vie,0,0,320,3,201,0
1684707298,Une Ecole pour la Vie,0,0,280,3,201,0
1684707658,Une Ecole pour la Vie,0,0,320,3,201,0
1684707838,Une Ecole pour la Vie,0,0,280,3,201,0
1684661065,Une Ecole pour la Vie,0,0,-360,3,201,0
1684661065,Une Ecole pour la Vie,0,0,-360,3,201,0
1684661065,Une Ecole pour la Vie,0,0,-360,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684570404,Une Ecole pour la Vie,0,0,-360,3,201,0
1684661065,Une Ecole pour la Vie,0,0,-360,3,201,0
1684661065,Une Ecole pour la Vie,0,0,-360,3,201,0
1684661065,Une Ecole pour la Vie,0,0,-360,3,201,0
1684622573,Une Ecole pour la Vie,0,0,680,3,201,0
1684575980,Une Ecole pour la Vie,0,0,-80,3,201,0
1684661065,Une Ecole pour la Vie,0,0,-360,3,201,0
1684622933,Une Ecole pour la Vie,0,0,440,3,201,0
1684760006,Une Ecole pour la Vie,0,0,-1000,3,201,0
1684877657,Une Ecole pour la Vie,0,0,360,3,201,0
1684941160,Une Ecole pour la Vie,0,0,-280,3,201,0
1684962928,Une Ecole pour la Vie,0,0,440,3,201,0
1684962748,Une Ecole pour la Vie,0,0,440,3,201,0
1684962568,Une Ecole pour la Vie,0,0,600,3,201,0
1684957171,Une Ecole pour la Vie,0,0,400,3,201,0
1684968325,Une Ecole pour la Vie,0,0,360,3,201,0
1684968505,Une Ecole pour la Vie,0,0,320,3,201,0
1684995849,Une Ecole pour la Vie,0,0,-440,3,201,0
1684995669,Une Ecole pour la Vie,0,0,-440,3,201,0
1685001425,Une Ecole pour la Vie,0,0,-240,3,201,0
1685006822,Une Ecole pour la Vie,0,0,-440,3,201,0
1685007002,Une Ecole pour la Vie,0,0,-400,3,201,0
1685007182,Une Ecole pour la Vie,0,0,-40,3,201,0
1685006822,Une Ecole pour la Vie,0,0,-440,3,201,0
1685007002,Une Ecole pour la Vie,0,0,-400,3,201,0
1685007182,Une Ecole pour la Vie,0,0,-40,3,201,0
1685023013,Une Ecole pour la Vie,0,0,-1120,3,201,0
1685022833,Une Ecole pour la Vie,-1,-1,-1,3,201,0
1685025711,Une Ecole pour la Vie,0,0,160,3,201,0
1685047659,Une Ecole pour la Vie,0,0,240,3,201,0
1685048018,Une Ecole pour la Vie,0,0,440,3,201,0
1685068886,Une Ecole pour la Vie,0,0,-640,3,201,0
1685092093,Une Ecole pour la Vie,0,0,-320,3,201,0
1685091913,Une Ecole pour la Vie,0,0,-520,3,201,0
1685110802,Une Ecole pour la Vie,0,0,240,3,201,0
1685132929,Une Ecole pour la Vie,0,0,280,3,201,0
1685144083,Une Ecole pour la Vie,0,0,400,3,201,0
1685153977,Une Ecole pour la Vie,0,0,-880,3,201,0
1685171607,Une Ecole pour la Vie,0,0,-160,3,201,0
1685171427,Une Ecole pour la Vie,0,0,-320,3,201,0
1685177184,Une Ecole pour la Vie,0,0,-80,3,201,0
1685195713,Une Ecole pour la Vie,0,0,440,3,201,0
1685223776,Une Ecole pour la Vie,0,0,600,3,201,0
1685229353,Une Ecole pour la Vie,0,0,360,3,201,0
1685229173,Une Ecole pour la Vie,0,0,200,3,201,0
1685256517,Une Ecole pour la Vie,0,0,-320,3,201,0
1685262094,Une Ecole pour la Vie,0,0,-800,3,201,0
1685267851,Une Ecole pour la Vie,0,0,-400,3,201,0
1685284041,Une Ecole pour la Vie,0,0,-1000,3,201,0
1685352762,Une Ecole pour la Vie,0,0,-320,3,201,0
1685352942,Une Ecole pour la Vie,0,0,-280,3,201,0
1685353121,Une Ecole pour la Vie,0,0,-40,3,201,0
1685352762,Une Ecole pour la Vie,0,0,-320,3,201,0
1685352942,Une Ecole pour la Vie,0,0,-280,3,201,0
1685352942,Une Ecole pour la Vie,0,0,-280,3,201,0
1685353121,Une Ecole pour la Vie,0,0,-40,3,201,0
1685399534,Une Ecole pour la Vie,0,0,200,3,201,0
1685438032,Une Ecole pour la Vie,0,0,-440,3,201,0
1685660360,Une Ecole pour la Vie,0,0,80,3,201,0
1685698858,Une Ecole pour la Vie,0,0,-280,3,201,0
1685699038,Une Ecole pour la Vie,0,0,-200,3,201,0
1685698858,Une Ecole pour la Vie,0,0,-280,3,201,0
1685699038,Une Ecole pour la Vie,0,0,-200,3,201,0
1685699038,Une Ecole pour la Vie,0,0,-200,3,201,0
1685745451,Une Ecole pour la Vie,0,0,320,3,201,0
1685745271,Une Ecole pour la Vie,0,0,320,3,201,0
1685830174,Une Ecole pour la Vie,0,0,360,3,201,0
1685830533,Une Ecole pour la Vie,0,0,480,3,201,0
1685830353,Une Ecole pour la Vie,0,0,600,3,201,0
1685836110,Une Ecole pour la Vie,0,0,480,3,201,0
1685835930,Une Ecole pour la Vie,0,0,280,3,201,0
1685869031,Une Ecole pour la Vie,0,0,-360,3,201,0
1685921201,Une Ecole pour la Vie,0,0,440,3,201,0
1685921021,Une Ecole pour la Vie,0,0,360,3,201,0
1685954122,Une Ecole pour la Vie,0,0,-360,3,201,0
1685953942,Une Ecole pour la Vie,0,0,-360,3,201,0
1686006291,Une Ecole pour la Vie,0,0,440,3,65535,0
