timeStamp,type,description
1679850877,NORMAL, Function END ID: 26 MISSION_MODE_LEOP 
1679850876,NORMAL, Function END ID: 9 OBC_START 
1679850876,NORMAL, Function END ID: 1 EPS_START 
1679850868,NORMAL, Function START ID: 3 RADIO_START 
1679850868,NORMAL, Function START ID: 1 EPS_START 
1679850868,NORMAL, Function START ID: 9 OBC_START 
1679850868,NORMAL, Function START ID: 26 MISSION_MODE_LEOP 
1679850856,NORMAL, Function END ID: 12 ADCS_STOP 
1679850853,NORMAL, Function END ID: 25 MISSION_MODE_SAFE 
1679850852,NORMAL, Function END ID: 14 PAYLOAD_STOP 
1679850849,NORMAL, Function START ID: 12 ADCS_STOP 
1679850849,NORMAL, Function START ID: 14 PAYLOAD_STOP 
1679850849,NORMAL, Function END ID: 8 SOLARPANEL_STOP 
1679850841,NORMAL, Function START ID: 8 SOLARPANEL_STOP 
1679850838,NORMAL, Function START ID: 3 RADIO_START 
1679850838,NORMAL, Function END ID: 9 OBC_START 
1679850838,NORMAL, Function END ID: 1 EPS_START 
1679850831,NORMAL, Function START ID: 1 EPS_START 
1679850831,NORMAL, Function START ID: 9 OBC_START 
1679850831,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 0 
1679850831,NORMAL, Function START ID: 25 MISSION_MODE_SAFE 
1679850765,NORMAL, Function END ID: 22 MISSION_INIT 
1679850764,NORMAL, Function START ID: 22 MISSION_INIT 
1679850764,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1677161947,NORMAL, Function END ID: 22 MISSION_INIT 
1677161947,NORMAL, Function START ID: 22 MISSION_INIT 
1677161947,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1676987381,NORMAL, Function END ID: 22 MISSION_INIT 
1676987381,NORMAL, Function START ID: 22 MISSION_INIT 
1676987381,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1676398268,NORMAL, Function END ID: 1 EPS_START 
1676398261,NORMAL, Function START ID: 1 EPS_START 
1676388490,NORMAL, Function END ID: 22 MISSION_INIT 
1676388490,NORMAL, Function START ID: 22 MISSION_INIT 
1676388490,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1676388403,NORMAL, Function END ID: 22 MISSION_INIT 
1676388403,NORMAL, Function START ID: 22 MISSION_INIT 
1676388403,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1675785181,NORMAL, Function END ID: 5 ANTENNA_START 
1675785174,NORMAL, Function START ID: 5 ANTENNA_START 
1675784302,NORMAL, Function END ID: 1 EPS_START 
1675784295,NORMAL, Function START ID: 1 EPS_START 
1675784049,NORMAL, Function END ID: 22 MISSION_INIT 
1675784049,NORMAL, Function START ID: 22 MISSION_INIT 
1675784049,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1675487081,NORMAL, Function END ID: 15 PARAMETERS_SAVE 
1675487062,NORMAL, Function START ID: 15 PARAMETERS_SAVE 
1675486978,NORMAL, Function END ID: 22 MISSION_INIT 
1675486978,NORMAL, Function START ID: 22 MISSION_INIT 
1675486978,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674761130,NORMAL, Function END ID: 22 MISSION_INIT 
1674761130,NORMAL, Function START ID: 22 MISSION_INIT 
1674761130,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674760224,NORMAL, Function END ID: 22 MISSION_INIT 
1674760224,NORMAL, Function START ID: 22 MISSION_INIT 
1674760224,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674744348,NORMAL, Function END ID: 5 ANTENNA_START 
1674744341,NORMAL, Function START ID: 5 ANTENNA_START 
1674744222,NORMAL, Function END ID: 22 MISSION_INIT 
1674744222,NORMAL, Function START ID: 22 MISSION_INIT 
1674744222,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674744169,NORMAL, Function END ID: 5 ANTENNA_START 
1674744162,NORMAL, Function START ID: 5 ANTENNA_START 
1674668244,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674668244,NORMAL, Function END ID: 12 ADCS_STOP 
1674668241,NORMAL, Function END ID: 23 MISSION_LEOP 
1674668241,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 14 evLeopStepOut step: 16 
1674668240,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 13 evLeopStepOut step: 15 
1674668240,NORMAL, Function END ID: 27 MISSION_MODE_NOMINAL 
1674668240,NORMAL, Function END ID: 14 PAYLOAD_STOP 
1674668236,NORMAL, Function START ID: 12 ADCS_STOP 
1674668236,NORMAL, Function START ID: 14 PAYLOAD_STOP 
1674668236,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674668236,NORMAL, Function END ID: 8 SOLARPANEL_STOP 
1674668229,NORMAL, Function START ID: 8 SOLARPANEL_STOP 
1674668226,NORMAL, Function START ID: 3 RADIO_START 
1674668226,NORMAL, Function END ID: 9 OBC_START 
1674668226,NORMAL, Function END ID: 1 EPS_START 
1674668218,NORMAL, Function START ID: 1 EPS_START 
1674668218,NORMAL, Function START ID: 9 OBC_START 
1674668218,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 5 
1674668218,NORMAL, Function START ID: 27 MISSION_MODE_NOMINAL 
1674668218,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 4 
1674668038,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 12 evLeopStepOut step: 13 
1674668037,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 11 evLeopStepOut step: 12 
1674668037,NORMAL, Function END ID: 15 PARAMETERS_SAVE 
1674668018,NORMAL, Function START ID: 15 PARAMETERS_SAVE 
1674668018,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 10 evLeopStepOut step: 11 
1674668008,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 9 evLeopStepOut step: 10 
1674667948,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 8 evLeopStepOut step: 9 
1674667948,LOW,evAntennaDeployOut packetId: 0xFAA1 evAntennaDeployOut sequenceId: 3 evAntennaDeployOut channelId: 255 
1674667887,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 7 evLeopStepOut step: 8 
1674667887,LOW,evAntennaDeployOut packetId: 0xFAA1 evAntennaDeployOut sequenceId: 2 evAntennaDeployOut channelId: 255 
1674667883,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 6 evLeopStepOut step: 7 
1674667883,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 5 evLeopStepOut step: 6 
1674667883,NORMAL, Function END ID: 5 ANTENNA_START 
1674667875,NORMAL, Function START ID: 5 ANTENNA_START 
1674667875,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 4 evLeopStepOut step: 5 
1674667865,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 3 evLeopStepOut step: 4 
1674667865,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674667858,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674667858,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 2 evLeopStepOut step: 3 
1674667858,MEDIUM, Function ABORT ID: 21 ANTENNA_DEPLOY 
1674667858,HIGH,evAntennaBackupNotAuthorizedOut packetId: 0xFB31 evAntennaBackupNotAuthorizedOut sequenceId: 0 
1674667857,NORMAL, Function START ID: 21 ANTENNA_DEPLOY 
1674667857,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 1 evLeopStepOut step: 2 
1674667857,NORMAL, Function END ID: 5 ANTENNA_START 
1674667850,NORMAL, Function START ID: 5 ANTENNA_START 
1674667850,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 0 evLeopStepOut step: 1 
1674667669,NORMAL, Function END ID: 26 MISSION_MODE_LEOP 
1674667668,NORMAL, Function END ID: 9 OBC_START 
1674667668,NORMAL, Function END ID: 1 EPS_START 
1674667660,NORMAL, Function START ID: 3 RADIO_START 
1674667660,NORMAL, Function START ID: 1 EPS_START 
1674667660,NORMAL, Function START ID: 9 OBC_START 
1674667660,NORMAL, Function START ID: 26 MISSION_MODE_LEOP 
1674667660,NORMAL, Function START ID: 23 MISSION_LEOP 
1674667639,NORMAL, Function END ID: 22 MISSION_INIT 
1674667639,NORMAL, Function START ID: 22 MISSION_INIT 
1674667639,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674667558,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674667558,NORMAL, Function END ID: 12 ADCS_STOP 
1674667555,NORMAL, Function END ID: 23 MISSION_LEOP 
1674667555,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 14 evLeopStepOut step: 16 
1674667555,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 13 evLeopStepOut step: 15 
1674667555,NORMAL, Function END ID: 27 MISSION_MODE_NOMINAL 
1674667554,NORMAL, Function END ID: 14 PAYLOAD_STOP 
1674667551,NORMAL, Function START ID: 12 ADCS_STOP 
1674667551,NORMAL, Function START ID: 14 PAYLOAD_STOP 
1674667551,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674667551,NORMAL, Function END ID: 8 SOLARPANEL_STOP 
1674667543,NORMAL, Function START ID: 8 SOLARPANEL_STOP 
1674667540,NORMAL, Function START ID: 3 RADIO_START 
1674667540,NORMAL, Function END ID: 9 OBC_START 
1674667540,NORMAL, Function END ID: 1 EPS_START 
1674667533,NORMAL, Function START ID: 1 EPS_START 
1674667533,NORMAL, Function START ID: 9 OBC_START 
1674667533,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 5 
1674667532,NORMAL, Function START ID: 27 MISSION_MODE_NOMINAL 
1674667532,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 4 
1674667352,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 12 evLeopStepOut step: 13 
1674667351,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 11 evLeopStepOut step: 12 
1674667351,NORMAL, Function END ID: 15 PARAMETERS_SAVE 
1674667332,NORMAL, Function START ID: 15 PARAMETERS_SAVE 
1674667332,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 10 evLeopStepOut step: 11 
1674667322,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 9 evLeopStepOut step: 10 
1674667262,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 8 evLeopStepOut step: 9 
1674667262,LOW,evAntennaDeployOut packetId: 0xFAA1 evAntennaDeployOut sequenceId: 3 evAntennaDeployOut channelId: 255 
1674667202,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 7 evLeopStepOut step: 8 
1674667202,LOW,evAntennaDeployOut packetId: 0xFAA1 evAntennaDeployOut sequenceId: 2 evAntennaDeployOut channelId: 255 
1674667198,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 6 evLeopStepOut step: 7 
1674667197,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 5 evLeopStepOut step: 6 
1674667197,NORMAL, Function END ID: 5 ANTENNA_START 
1674667190,NORMAL, Function START ID: 5 ANTENNA_START 
1674667190,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 4 evLeopStepOut step: 5 
1674667180,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 3 evLeopStepOut step: 4 
1674667180,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674667172,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 2 evLeopStepOut step: 3 
1674667172,NORMAL, Function END ID: 5 ANTENNA_START 
1674667172,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 1 evLeopStepOut step: 2 
1674667172,NORMAL, Function START ID: 21 ANTENNA_DEPLOY 
1674667172,MEDIUM, Function ABORT ID: 21 ANTENNA_DEPLOY 
1674667172,HIGH,evAntennaBackupNotAuthorizedOut packetId: 0xFB31 evAntennaBackupNotAuthorizedOut sequenceId: 0 
1674667172,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674667164,NORMAL, Function START ID: 5 ANTENNA_START 
1674667164,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 0 evLeopStepOut step: 1 
1674666983,NORMAL, Function END ID: 26 MISSION_MODE_LEOP 
1674666982,NORMAL, Function END ID: 9 OBC_START 
1674666982,NORMAL, Function END ID: 1 EPS_START 
1674666975,NORMAL, Function START ID: 3 RADIO_START 
1674666975,NORMAL, Function START ID: 1 EPS_START 
1674666975,NORMAL, Function START ID: 9 OBC_START 
1674666974,NORMAL, Function START ID: 26 MISSION_MODE_LEOP 
1674666974,NORMAL, Function START ID: 23 MISSION_LEOP 
1674666871,NORMAL, Function END ID: 22 MISSION_INIT 
1674666871,NORMAL, Function START ID: 22 MISSION_INIT 
1674666871,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674666249,NORMAL, Function END ID: 15 PARAMETERS_SAVE 
1674666230,NORMAL, Function START ID: 15 PARAMETERS_SAVE 
1674665841,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674665841,NORMAL, Function END ID: 12 ADCS_STOP 
1674665838,NORMAL, Function END ID: 23 MISSION_LEOP 
1674665838,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 41 evLeopStepOut step: 16 
1674665838,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 40 evLeopStepOut step: 15 
1674665838,NORMAL, Function END ID: 27 MISSION_MODE_NOMINAL 
1674665837,NORMAL, Function END ID: 14 PAYLOAD_STOP 
1674665834,NORMAL, Function START ID: 12 ADCS_STOP 
1674665834,NORMAL, Function START ID: 14 PAYLOAD_STOP 
1674665834,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674665834,NORMAL, Function END ID: 8 SOLARPANEL_STOP 
1674665826,NORMAL, Function START ID: 8 SOLARPANEL_STOP 
1674665823,NORMAL, Function START ID: 3 RADIO_START 
1674665823,NORMAL, Function END ID: 9 OBC_START 
1674665823,NORMAL, Function END ID: 1 EPS_START 
1674665816,NORMAL, Function START ID: 1 EPS_START 
1674665816,NORMAL, Function START ID: 9 OBC_START 
1674665816,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 11 
1674665815,NORMAL, Function START ID: 27 MISSION_MODE_NOMINAL 
1674665815,HIGH,evRadioTxNotAuthorizedOut packetId: 0xFB30 evRadioTxNotAuthorizedOut sequenceId: 10 
1674665635,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 39 evLeopStepOut step: 13 
1674665635,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 38 evLeopStepOut step: 12 
1674665634,NORMAL, Function END ID: 15 PARAMETERS_SAVE 
1674665615,NORMAL, Function START ID: 15 PARAMETERS_SAVE 
1674665615,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 37 evLeopStepOut step: 11 
1674665605,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 36 evLeopStepOut step: 10 
1674665545,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 35 evLeopStepOut step: 9 
1674665545,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 9 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665485,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 34 evLeopStepOut step: 8 
1674665485,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 8 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665481,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 33 evLeopStepOut step: 7 
1674665481,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 32 evLeopStepOut step: 6 
1674665481,NORMAL, Function END ID: 5 ANTENNA_START 
1674665473,NORMAL, Function START ID: 5 ANTENNA_START 
1674665473,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 31 evLeopStepOut step: 5 
1674665463,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 30 evLeopStepOut step: 4 
1674665463,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674665456,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674665456,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 29 evLeopStepOut step: 3 
1674665396,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 28 evLeopStepOut step: 11 
1674665386,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 27 evLeopStepOut step: 10 
1674665325,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 26 evLeopStepOut step: 9 
1674665325,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 7 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665265,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 25 evLeopStepOut step: 8 
1674665265,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 6 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665261,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 24 evLeopStepOut step: 7 
1674665261,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 23 evLeopStepOut step: 6 
1674665261,NORMAL, Function END ID: 5 ANTENNA_START 
1674665253,NORMAL, Function START ID: 5 ANTENNA_START 
1674665253,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 22 evLeopStepOut step: 5 
1674665243,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 21 evLeopStepOut step: 4 
1674665243,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674665236,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674665236,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 20 evLeopStepOut step: 3 
1674665176,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 19 evLeopStepOut step: 11 
1674665166,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 18 evLeopStepOut step: 10 
1674665106,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 17 evLeopStepOut step: 9 
1674665106,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 5 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665046,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 16 evLeopStepOut step: 8 
1674665046,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 4 evAntennaDeployNotAuthorizedOut channelId: 255 
1674665042,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 15 evLeopStepOut step: 7 
1674665041,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 14 evLeopStepOut step: 6 
1674665041,NORMAL, Function END ID: 5 ANTENNA_START 
1674665034,NORMAL, Function START ID: 5 ANTENNA_START 
1674665034,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 13 evLeopStepOut step: 5 
1674665024,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 12 evLeopStepOut step: 4 
1674665024,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674665016,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674665016,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 11 evLeopStepOut step: 3 
1674664956,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 10 evLeopStepOut step: 11 
1674664946,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 9 evLeopStepOut step: 10 
1674664886,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 8 evLeopStepOut step: 9 
1674664886,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 3 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664826,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 7 evLeopStepOut step: 8 
1674664826,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 2 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664822,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 6 evLeopStepOut step: 7 
1674664822,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 5 evLeopStepOut step: 6 
1674664822,NORMAL, Function END ID: 5 ANTENNA_START 
1674664814,NORMAL, Function START ID: 5 ANTENNA_START 
1674664814,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 4 evLeopStepOut step: 5 
1674664804,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 3 evLeopStepOut step: 4 
1674664804,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674664797,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674664797,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 2 evLeopStepOut step: 3 
1674664797,MEDIUM, Function ABORT ID: 21 ANTENNA_DEPLOY 
1674664797,HIGH,evAntennaBackupNotAuthorizedOut packetId: 0xFB31 evAntennaBackupNotAuthorizedOut sequenceId: 0 
1674664796,NORMAL, Function START ID: 21 ANTENNA_DEPLOY 
1674664796,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 1 evLeopStepOut step: 2 
1674664796,NORMAL, Function END ID: 5 ANTENNA_START 
1674664789,NORMAL, Function START ID: 5 ANTENNA_START 
1674664789,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 0 evLeopStepOut step: 1 
1674664607,NORMAL, Function END ID: 26 MISSION_MODE_LEOP 
1674664606,NORMAL, Function END ID: 9 OBC_START 
1674664606,NORMAL, Function END ID: 1 EPS_START 
1674664599,NORMAL, Function START ID: 3 RADIO_START 
1674664599,NORMAL, Function START ID: 1 EPS_START 
1674664599,NORMAL, Function START ID: 9 OBC_START 
1674664598,NORMAL, Function START ID: 26 MISSION_MODE_LEOP 
1674664598,NORMAL, Function START ID: 23 MISSION_LEOP 
1674664533,NORMAL, Function END ID: 22 MISSION_INIT 
1674664533,HIGH,evDeathReportOut packetId: 0xFB91 evDeathReportOut sequenceId: 0 evDeathReportOut rebootReason: 1 
1674664533,NORMAL, Function START ID: 22 MISSION_INIT 
1674664459,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 25 evLeopStepOut step: 8 
1674664458,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 6 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664454,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 24 evLeopStepOut step: 7 
1674664454,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 23 evLeopStepOut step: 6 
1674664454,NORMAL, Function END ID: 5 ANTENNA_START 
1674664446,NORMAL, Function START ID: 5 ANTENNA_START 
1674664446,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 22 evLeopStepOut step: 5 
1674664436,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 21 evLeopStepOut step: 4 
1674664436,NORMAL, Function END ID: 6 ANTENNA_STOP 
1674664429,NORMAL, Function START ID: 6 ANTENNA_STOP 
1674664429,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 20 evLeopStepOut step: 3 
1674664369,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 19 evLeopStepOut step: 11 
1674664359,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 18 evLeopStepOut step: 10 
1674664299,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 17 evLeopStepOut step: 9 
1674664299,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 5 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664239,HIGH,evAntennaDeployNotAuthorizedOut packetId: 0xFB2E evAntennaDeployNotAuthorizedOut sequenceId: 4 evAntennaDeployNotAuthorizedOut channelId: 255 
1674664239,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 16 evLeopStepOut step: 8 
1674664235,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 15 evLeopStepOut step: 7 
1674664234,MEDIUM,evLeopStepOut packetId: 0xFACA evLeopStepOut sequenceId: 14 evLeopStepOut step: 6 
